City_id,City_name,Country_name,Link
g1024686,Tindouf,Algeria,https://www.tripadvisor.com/Tourism-g1024686-Tindouf_Tindouf_Province-Tourism.html
g424906,Tipasa,Algeria,https://www.tripadvisor.com/Tourism-g424906-Tipasa_Tipasa_Province-Tourism.html
g2602614,Tissemsilt,Algeria,https://www.tripadvisor.com/Tourism-g2602614-Tissemsilt_Tissemsilt_Province-Tourism.html
g734462,Tlemcen,Algeria,https://www.tripadvisor.com/Tourism-g734462-Tlemcen_Tlemcen_Province-Tourism.html
g1074164,Touggourt,Algeria,https://www.tripadvisor.com/Tourism-g1074164-Touggourt_Ouargla_Province-Tourism.html
g2385338,Encamp,Andorra,https://www.tripadvisor.com/Tourism-g2385338-Encamp_Encamp_Parish-Tourism.html
g147253,Barbuda,Antigua And Barbuda,https://www.tripadvisor.com/Tourism-g147253-Barbuda_Antigua_and_Barbuda-Tourism.html
g312828,Chubut,Argentina,https://www.tripadvisor.com/Tourism-g312828-Province_of_Chubut_Patagonia-Tourism.html
g312768,Cordoba,Argentina,https://www.tripadvisor.com/Tourism-g312768-Cordoba_Province_of_Cordoba_Central_Argentina-Tourism.html
g312794,Corrientes,Argentina,https://www.tripadvisor.com/Tourism-g312794-Corrientes_Province_of_Corrientes_Litoral-Tourism.html
g312802,Formosa,Argentina,https://www.tripadvisor.com/Tourism-g312802-Formosa_Province_of_Formosa_Litoral-Tourism.html
g312781,Mendoza,Argentina,https://www.tripadvisor.com/Tourism-g312781-Mendoza_Province_of_Mendoza_Cuyo-Tourism.html
g312803,Misiones,Argentina,https://www.tripadvisor.com/Tourism-g312803-Province_of_Misiones_Litoral-Tourism.html
g312842,Neuquen,Argentina,https://www.tripadvisor.com/Tourism-g312842-Neuquen_Province_of_Neuquen_Patagonia-Tourism.html
g312826,Tucuman,Argentina,https://www.tripadvisor.com/Tourism-g312826-San_Miguel_de_Tucuman_Province_of_Tucuman_Northern_Argentina-Tourism.html
g293932,Yerevan,Armenia,https://www.tripadvisor.com/Tourism-g293932-Yerevan-Tourism.html
g255067,Queensland,Australia,https://www.tripadvisor.com/Tourism-g255067-Queensland-Tourism.html
g255096,Tasmania,Australia,https://www.tripadvisor.com/Tourism-g255096-Tasmania-Tourism.html
g154945,Victoria,Australia,https://www.tripadvisor.com/Tourism-g154945-Victoria_Victoria_Capital_Regional_District_Vancouver_Island_British_Columbia-Tourism.html
g190411,Burgenland,Austria,https://www.tripadvisor.com/Tourism-g190411-Burgenland-Tourism.html
g190435,Carinthia,Austria,https://www.tripadvisor.com/Tourism-g190435-Carinthia_Austrian_Alps-Tourism.html
g190441,Salzburg,Austria,https://www.tripadvisor.com/Tourism-g190441-Salzburg_Austrian_Alps-Tourism.html
